departure,time,flight,airline,info_url,status,is_departure
Mumbai (BOM),10:30,6E488,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E488,En Route [+],True
Gwalior (GWL),10:30,SG3325,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG3325,En Route [+],True
Ahmedabad (AMD),10:35,6E6772,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6772,Scheduled - Delayed [+],True
Hyderabad (HYD),10:35,6E6066,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6066,Landed - On-time [+],False
Delhi (DEL),10:40,I5740,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-arrival/I5740,Landed - On-time [+],False
Pune (PNQ),10:40,G8752,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8752,Unknown [+],False
Chandigarh (IXC),10:40,6E6512,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6512,En Route [+],True
Varanasi (VNS),10:45,6E897,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E897,En Route [+],True
Agartala (IXA),10:45,6E524,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E524,En Route [+],True
Mumbai (BOM),10:45,UK863,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK863,Landed - On-time [+],False
Kanpur (KNU),10:50,6E6477,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6477,En Route [+],True
Madurai (IXM),10:50,6E7203,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7203,Scheduled - Delayed [+],True
Delhi (DEL),10:50,"UK815
BA5839","Vistara
British Airways",https://www.bangaloreairport.com/kempegowda-flight-arrival/UK815,Landed - On-time [+],False
Vijayawada (VGA),10:55,6E7071,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7071,En Route [+],True
Ahmedabad (AMD),10:55,6E758,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E758,Landed - On-time [+],False
Riyadh (RUH),10:55,SV3714,Saudia,https://www.bangaloreairport.com/kempegowda-flight-arrival/SV3714,Landed - On-time [+],False
Chennai (MAA),10:55,6E6212,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6212,En Route [+],True
